"# PARAMS: predictXGB.R --data /data/gene_expression/shiny/prot-atlas-gbm/data/sample_prot.rds --models data/list_xgb-gbm_64_signatures-prot-v01.RData --out_csv predict_sample_prot.csv --out_rdata predict_sample_prot.RData"
GENESET,NUMBER_GENES_MODEL,RATIO_UNMAPPED,P19_MVP,P11_WHOLE,P11_CT,P4_IT
SANSOM_APC_TARGETS_REQUIRE_MYC,3025,0.000,-0.1060,-0.2295, 0.3651, 0.3991
SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_UP,3025,0.000, 2.1072, 1.2022, 0.6530,-1.2810
SWEET_KRAS_TARGETS_UP,3025,0.000, 2.2471, 1.0090, 0.8952,-0.3604
VANOEVELEN_MYOGENESIS_SIN3A_TARGETS,3025,0.000, 0.3225, 1.0220,-0.2404,-0.5028
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP,3025,0.000, 1.6901, 1.0208, 0.5777,-0.9053
VERHAAK_GLIOBLASTOMA_MESENCHYMAL,3025,0.000, 1.4967, 0.8100, 0.2580,-0.9994
VERHAAK_GLIOBLASTOMA_NEURAL,3025,0.000,-1.0547,-0.9378,-0.2494, 0.8076
VERHAAK_GLIOBLASTOMA_PRONEURAL,3025,0.000,-1.4083,-0.7594, 0.2373, 0.9617
WALLACE_PROSTATE_CANCER_RACE_UP,3025,0.000, 0.8587, 0.9626, 0.3670,-0.1984
WINTER_HYPOXIA_UP,3025,0.000, 0.0630, 0.4792,-0.4203,-1.4448
WP_MRNA_PROCESSING,3025,0.000,0.5369,0.1222,0.4080,0.2678
WP_PRIMARY_FOCAL_SEGMENTAL_GLOMERULOSCLEROSIS_FSGS,3025,0.000, 2.0093, 1.3351, 0.3884,-0.4413
WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS,3025,0.000,-2.0533,-1.4137,-0.0701, 0.5193
WU_CELL_MIGRATION,3025,0.000, 1.3945, 1.2770, 0.6311,-0.3038
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_16,3025,0.000, 1.8180, 1.0484, 0.0951,-0.5669
ZHANG_BREAST_CANCER_PROGENITORS_UP,3025,0.000,-0.5074,-0.4109, 0.0726, 0.5236
HALLMARK_COAGULATION,3025,0.000, 1.5882, 1.2246, 1.3884,-0.4073
HALLMARK_INTERFERON_ALPHA_RESPONSE,3025,0.000,-0.5420, 0.4173,-0.4964, 0.2451
HALLMARK_INTERFERON_GAMMA_RESPONSE,3025,0.000, 0.5714, 0.6355, 0.1535,-0.2155
HALLMARK_MYC_TARGETS_V1,3025,0.000,0.3082,0.2159,0.2906,0.2226
CAHOY_NEURONAL,3025,0.000,-1.3406,-1.1741,-0.1377, 0.7637
CAHOY_OLIGODENDROCUTIC,3025,0.000,-1.2450,-1.2111,-0.0699, 0.7315
E2F1_UP.V1_UP,3025,0.000,-0.5549,-0.5469, 0.8842, 0.5171
EGFR_UP.V1_UP,3025,0.000, 1.4345, 1.3279, 0.1130,-1.2224
